agent,model,granularity,group,n_constraints,pass_at_1,pass_at_3,pass_power_3,passed_assertions_perc,strict_assertions_perc,n_succeeded,n_executed
mini_swe_sdk,gpt-5.4,runtime,uv,3,0.6250,0.7500,0.5417,0.7251,0.7251,15,24
mini_swe_sdk,gpt-5.4,global,all,,0.5556,0.7821,0.4065,0.8310,0.8310,130,234
mini_swe_sdk,gpt-5.4,global,all,0,0.6250,0.8750,0.5139,0.9750,0.9750,15,24
mini_swe_sdk,gpt-5.4,global,all,1,0.5362,0.7826,0.3591,0.8189,0.8189,37,69
mini_swe_sdk,gpt-5.4,global,all,2,0.5054,0.7742,0.3357,0.8186,0.8186,47,93
mini_swe_sdk,gpt-5.4,global,all,3,0.6458,0.7500,0.5579,0.8004,0.8004,31,48
mini_swe_sdk,gpt-5.4,constraint_type,clean_architecture,,0.6000,0.8250,0.4389,0.8386,0.8386,72,120
mini_swe_sdk,gpt-5.4,constraint_type,postgres,,0.6111,0.8667,0.4309,0.8504,0.8504,55,90
mini_swe_sdk,gpt-5.4,constraint_type,sequelize,,0.6875,0.8125,0.5764,0.8927,0.8927,33,48
mini_swe_sdk,gpt-5.4,constraint_type,sqlalchemy,,0.4000,0.6000,0.2963,0.6686,0.6686,18,45
mini_swe_sdk,gpt-5.4,constraint_type,sqlite,,0.4792,0.6562,0.3657,0.7699,0.7699,46,96
mini_swe_sdk,gpt-5.4,framework_constraint,aiohttp:clean_architecture,,0.5333,0.8000,0.4148,0.6228,0.6228,8,15
mini_swe_sdk,gpt-5.4,framework_constraint,aiohttp:postgres,,0.5833,1.0000,0.3426,0.6951,0.6951,7,12
mini_swe_sdk,gpt-5.4,framework_constraint,aiohttp:sqlalchemy,,0.1667,0.5000,0.0185,0.3609,0.3609,2,12
mini_swe_sdk,gpt-5.4,framework_constraint,aiohttp:sqlite,,0.2500,0.5000,0.0833,0.5764,0.5764,3,12
mini_swe_sdk,gpt-5.4,framework_constraint,django:clean_architecture,,0.6000,1.0000,0.4222,0.9253,0.9253,9,15
mini_swe_sdk,gpt-5.4,framework_constraint,django:postgres,,0.6667,1.0000,0.5185,0.8256,0.8256,8,12
mini_swe_sdk,gpt-5.4,framework_constraint,django:sqlalchemy,,0.5833,0.7500,0.5093,0.9011,0.9011,7,12
mini_swe_sdk,gpt-5.4,framework_constraint,django:sqlite,,0.4167,0.7500,0.2685,0.9822,0.9822,5,12
mini_swe_sdk,gpt-5.4,framework_constraint,express:clean_architecture,,0.8667,1.0000,0.7185,0.9968,0.9968,13,15
mini_swe_sdk,gpt-5.4,framework_constraint,express:postgres,,0.9167,1.0000,0.8241,0.9980,0.9980,11,12
mini_swe_sdk,gpt-5.4,framework_constraint,express:sequelize,,1.0000,1.0000,1.0000,1.0000,1.0000,12,12
mini_swe_sdk,gpt-5.4,framework_constraint,express:sqlite,,0.7500,0.7500,0.7500,0.9940,0.9940,9,12
mini_swe_sdk,gpt-5.4,framework_constraint,fastapi:clean_architecture,,0.5333,0.8000,0.2370,0.8002,0.8002,8,15
mini_swe_sdk,gpt-5.4,framework_constraint,fastapi:postgres,,0.6667,1.0000,0.2963,0.9920,0.9920,4,6
mini_swe_sdk,gpt-5.4,framework_constraint,fastapi:sqlalchemy,,0.3333,0.6667,0.1111,0.6682,0.6682,3,9
mini_swe_sdk,gpt-5.4,framework_constraint,fastapi:sqlite,,0.4167,0.7500,0.1574,0.6690,0.6690,5,12
mini_swe_sdk,gpt-5.4,framework_constraint,fastify:clean_architecture,,0.0000,0.0000,0.0000,0.5938,0.5938,0,15
mini_swe_sdk,gpt-5.4,framework_constraint,fastify:postgres,,0.0833,0.2500,0.0093,0.6092,0.6092,1,12
mini_swe_sdk,gpt-5.4,framework_constraint,fastify:sequelize,,0.0833,0.2500,0.0093,0.7684,0.7684,1,12
mini_swe_sdk,gpt-5.4,framework_constraint,fastify:sqlite,,0.0000,0.0000,0.0000,0.6822,0.6822,0,12
mini_swe_sdk,gpt-5.4,framework_constraint,flask:clean_architecture,,0.8000,1.0000,0.6667,0.9954,0.9954,12,15
mini_swe_sdk,gpt-5.4,framework_constraint,flask:postgres,,0.5000,0.7500,0.3333,0.9879,0.9879,6,12
mini_swe_sdk,gpt-5.4,framework_constraint,flask:sqlalchemy,,0.5000,0.5000,0.5000,0.7440,0.7440,6,12
mini_swe_sdk,gpt-5.4,framework_constraint,flask:sqlite,,0.4167,0.5000,0.3241,0.6609,0.6609,5,12
mini_swe_sdk,gpt-5.4,framework_constraint,hono:clean_architecture,,0.7333,1.0000,0.5259,0.9071,0.9071,11,15
mini_swe_sdk,gpt-5.4,framework_constraint,hono:postgres,,0.7500,1.0000,0.4722,0.8480,0.8480,9,12
mini_swe_sdk,gpt-5.4,framework_constraint,hono:sequelize,,0.8333,1.0000,0.6481,0.8767,0.8767,10,12
mini_swe_sdk,gpt-5.4,framework_constraint,hono:sqlite,,0.8333,1.0000,0.7593,0.8333,0.8333,10,12
mini_swe_sdk,gpt-5.4,framework_constraint,koa:clean_architecture,,0.7333,1.0000,0.5259,0.8678,0.8678,11,15
mini_swe_sdk,gpt-5.4,framework_constraint,koa:postgres,,0.7500,1.0000,0.5833,0.9181,0.9181,9,12
mini_swe_sdk,gpt-5.4,framework_constraint,koa:sequelize,,0.8333,1.0000,0.6481,0.9256,0.9256,10,12
mini_swe_sdk,gpt-5.4,framework_constraint,koa:sqlite,,0.7500,1.0000,0.5833,0.7609,0.7609,9,12
